Name_of_sign,YouTube_link,Same_in_SASL_as_ASL,Can_the_link_be_downloaded,Number_of_Hands_used,,`,`
essential-[IMPORTANT],www.youtube.com/watch?v=V_dT923VQ70,NOT THE SAME,YES,TWO HANDS,,,
MOM,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
DAD,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
MILK,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
EAT,www.youtube.com/watch?v=htsdwxJ-fTo,SAME,YES,ONE HAND,,,
DRINK,www.youtube.com/watch?v=htsdwxJ-fTo,SAME,YES,ONE HAND,,,
HOT,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
COLD,www.youtube.com/watch?v=htsdwxJ-fTo,SAME,YES,ONE HAND,,,
MORE,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,TWO HANDS,,,
HELP,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,TWO HANDS,,,
CLOTHES,www.youtube.com/watch?v=htsdwxJ-fTo,SAME,YES,TWO HANDS,,,
YOU,www.youtube.com/watch?v=htsdwxJ-fTo,SAME,YES,ONE HAND,,,
YOURS,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
DOWN,www.youtube.com/watch?v=htsdwxJ-fTo,SAME,YES,ONE HAND,,,
HURT,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,TWO HANDS,,,
AGAIN,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,TWO HANDS,,,
WANT,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,TWO HANDS,,,
LIKE,www.youtube.com/watch?v=htsdwxJ-fTo,SAME,YES,ONE HAND,,,
DON'T LIKE,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
MAD,www.youtube.com/watch?v=htsdwxJ-fTo,SOMEWHAT THE SAME,YES,ONE HAND,,,
FUNNY,www.youtube.com/watch?v=htsdwxJ-fTo,SAME,YES,ONE HAND,,,
SILLY,www.youtube.com/watch?v=htsdwxJ-fTo,SOMEWHAT THE SAME,YES,ONE HAND,,,
SAD,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,TWO HANDS,,,
HUNGRY,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
FULL,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
TIRED,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,TWO HANDS,,,
WHERE?,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
BOOK,www.youtube.com/watch?v=htsdwxJ-fTo,SAME,YES,TWO HANDS,,,
DIRTY,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
PLAY,www.youtube.com/watch?v=htsdwxJ-fTo,SOMEWHAT THE SAME,YES,TWO HANDS,,,
OUTSIDE,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
HOME,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
SISTER,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,TWO HANDS,,,
BROTHER,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,TWO HANDS,,,
GRANDMA,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
GRANDPA,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
AUNT,www.youtube.com/watch?v=htsdwxJ-fTo,SOMEWHAT THE SAME,YES,ONE HAND,,,
UNCLE,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
COUSIN,www.youtube.com/watch?v=htsdwxJ-fTo,NOT THE SAME,YES,ONE HAND,,,
I Love You,www.youtube.com/watch?v=CZkLkFnsNBA,,NO,,,,
warm,www.youtube.com/watch?v=3vH-22ZBt7w,NOT THE SAME,YES,ONE HAND,,,
warm,www.youtube.com/watch?v=3vH-22ZBt7w,NOT THE SAME,YES,ONE HAND,,,
STAND,www.youtube.com/watch?v=o1XWGA4KCNU,SAME,YES,TWO HANDS,,,
WAIT,www.youtube.com/watch?v=Sy1FdTFzul8,NOT THE SAME,YES,TWO HANDS,,,
BUSINESS-[initialized version],www.youtube.com/watch?v=oQGNnu24SEE,NOT THE SAME,YES,TWO HANDS,,,
blue,www.youtube.com/watch?v=U_nbv5Mq00c,,NO,,,,
FIRE-(terminate)-[excommunicate] (index finger and flat hand version),www.youtube.com/watch?v=pWO_1CT3QWk,NOT THE SAME,YES,TWO HANDS,,,
home,www.youtube.com/watch?v=B_H3Xg4XiB8,NOT THE SAME,YES,ONE HAND,,,
WIN,www.youtube.com/watch?v=Yqom91cTkZE,NOT THE SAME,YES,TWO HANDS,,,
socks,www.youtube.com/watch?v=oOJKizLq4jQ,NOT THE SAME,YES,TWO HANDS,,,
socks,www.youtube.com/watch?v=oOJKizLq4jQ,NOT THE SAME,YES,TWO HANDS,,,
GONE [ABSENT,www.youtube.com/watch?v=LA36HscT8Bo,SAME,YES,TWO HANDS,,,
RUDE,www.youtube.com/watch?v=hlOPlBd6F5Q,NOT THE SAME,YES,TWO HANDS,,,
BAKE,www.youtube.com/watch?v=Q0vD9t1u5bI,SOMEWHAT THE SAME,YES,TWO HANDS,,,
wine,www.youtube.com/watch?v=d809az7DnpU,SOMEWHAT THE SAME,YES,ONE HAND,,,
NORWAY,www.youtube.com/watch?v=FtAToIc1rAA,NOT THE SAME,YES,ONE HAND,,,
elementary school,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
middle school,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
high school,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
Gallaudet,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
English,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
Spanish,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
French,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
Sign Language,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
Not,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
Oh I See,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
Remember,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
Forgot,www.youtube.com/watch?v=gI_6r7VCzM4,,NO,,,,
BALL-(solid,www.youtube.com/watch?v=e8pEvhbngbc,SOMEWHAT THE SAME,YES,TWO HANDS,,,
25,www.youtube.com/watch?v=atnHjWFYzds,NOT THE SAME,YES,ONE HAND,,,
IN,www.youtube.com/watch?v=YirRi12-zWo,SOMEWHAT THE SAME,YES,TWO HANDS,,,
fish,www.youtube.com/watch?v=jsF87QSfxpg,SAME,YES,TWO HANDS,,,
STAND,www.youtube.com/watch?v=KhhowNO7Ywk,SAME,YES,TWO HANDS,,,
fly,www.youtube.com/watch?v=qxkNda-oprk,NOT THE SAME,YES,TWO HANDS,,,
fly,www.youtube.com/watch?v=qxkNda-oprk,NOT THE SAME,YES,TWO HANDS,,,
BED,www.youtube.com/watch?v=a80af5anctI,NOT THE SAME,YES,TWO HANDS,,,
Married,www.youtube.com/watch?v=UoDIBaGyhP8,NOT THE SAME,YES,TWO HANDS,,,
ENJOY-[appreciate],www.youtube.com/watch?v=Uo_AUbP0O9g,NOT THE SAME,YES,TWO HANDS,,,
brown,www.youtube.com/watch?v=b_ugQdfY424,NOT THE SAME,YES,ONE HAND,,,
Spider,www.youtube.com/watch?v=IDVjv1e1P44,NOT THE SAME,YES,TWO HANDS,,,
cafeteria,www.youtube.com/watch?v=Ui6Och8SrRU,NOT THE SAME,YES,ONE HAND,,,
coat,www.youtube.com/watch?v=2m-0FbIn7wE,SAME,YES,TWO HANDS,,,
tiger,www.youtube.com/watch?v=XPIDw_cNSFA,SAME,YES,TWO HANDS,,,
tiger,www.youtube.com/watch?v=XPIDw_cNSFA,SAME,YES,TWO HANDS,,,
SOUTH,www.youtube.com/watch?v=lyxKZxUOFwE,SAME,YES,ONE HAND,,,
dining room,www.youtube.com/watch?v=zk2nKD4U4JU,NOT THE SAME,YES,TWO HANDS,,,
dining room,www.youtube.com/watch?v=zk2nKD4U4JU,NOT THE SAME,YES,TWO HANDS,,,
happy,www.youtube.com/watch?v=bCVQXygujmo,SAME,YES,TWO HANDS,,,
DON'T LIKE,www.youtube.com/watch?v=yYt4hmEAxbM,NOT THE SAME,YES,ONE HAND,,,
BANANA,www.youtube.com/watch?v=RNcmcfEJAK0,SOMEWHAT THE SAME,YES,TWO HANDS,,,
HIT-[sudden-impact]-[Pow!],www.youtube.com/watch?v=TdhGSBisBXg,NOT THE SAME,YES,TWO HANDS,,,
WORK,www.youtube.com/watch?v=7cElz9Qy2bk,NOT THE SAME,YES,TWO HANDS,,,
Actor,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Actor,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Address,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Address,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
America,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
America,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Beach,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Beach,www.youtube.com/watch?v=K8c-np9zNT8,SAME,yes,one hand,,,
Birthday,www.youtube.com/watch?v=K8c-np9zNT8,SOMEWHAT THE SAME,YES,ONE HAND,,,
Birthday,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Black,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Black,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Blue,www.youtube.com/watch?v=K8c-np9zNT8,SOMEWHAT THE SAME,YES,ONE HAND,,,
Blue,www.youtube.com/watch?v=K8c-np9zNT8,SOMEWHAT THE SAME,yes,ONE HAND,,,
Brown,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Brown,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
to Celebrate,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
to Celebrate,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Christmas,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Christmas,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
City,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
City,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Color,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
to be Cool,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
to be Cool,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Dark,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Dark,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Easter,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Easter,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Email,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Email,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Email,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Email,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Fall,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
to be Far,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
to be Far,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
to be From,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Gray,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Gray,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Green,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Green,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
to Grow up,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Halloween,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Halloween,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Halloween,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Halloween,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Hanukkah,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Hanukkah,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Here,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Here,www.youtube.com/watch?v=K8c-np9zNT8,somewhat the same,yes,TWO HANDS,,,
Here,www.youtube.com/watch?v=K8c-np9zNT8,somewhat the same,yes,TWO HANDS,,,
Here,www.youtube.com/watch?v=K8c-np9zNT8,somewhat the same,yes,TWO HANDS,,,
His,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
His,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Hot,www.youtube.com/watch?v=K8c-np9zNT8,SOMEWHAT THE SAME,YES,ONE HAND,,,
Hot,www.youtube.com/watch?v=K8c-np9zNT8,SOMEWHAT THE SAME,YES,ONE HAND,,,
How many,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Inside,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Internet,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Internet,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Light,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Light,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Listen,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Listen,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
March,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
March,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Month,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Month,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Music,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Music,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Musician,www.youtube.com/watch?v=K8c-np9zNT8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Musician,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
My,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
My,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
New,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
New,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Number,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Number,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Ocean,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Ocean,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Old,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Orange,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Orange,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Ours,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Outside,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Outside,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Pink,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Purple,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Purple,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Rain,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Rain,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Red,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Red,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Road,www.youtube.com/watch?v=K8c-np9zNT8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
to Ski,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
to Ski,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
to Snow,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
to Snow,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Spring,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Street (general),www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Street (general),www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Summer,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Telephone,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Television,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Thanksgiving,www.youtube.com/watch?v=K8c-np9zNT8,SOMEWHAT THE SAME,YES,ONE HAND,,,
Thanksgiving,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Thanksgiving,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Thanksgiving,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Their,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Their,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Vacation,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Vacation,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
to Visit,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
to be Warm,www.youtube.com/watch?v=K8c-np9zNT8,SOMEWHAT THE SAME,YES,ONE HAND,,,
to be Warm,www.youtube.com/watch?v=K8c-np9zNT8,SOMEWHAT THE SAME,YES,ONE HAND,,,
to Watch,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
to Watch,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Weather,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
Weather,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,TWO HANDS,,,
White,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
White,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Winter,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Winter,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Year,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Year,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,TWO HANDS,,,
Yellow,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
